tokenId,price,updateTime
0x2022111013215200000000000000000000000000000000000000000000000001,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000002,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000003,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000004,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000005,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000006,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000007,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000008,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000009,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000010,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000011,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000012,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000013,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000014,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000015,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000016,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000017,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000018,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000019,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000020,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000021,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000022,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000023,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000024,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000025,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000026,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000027,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000028,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000029,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000030,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000031,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000032,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000033,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000034,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000035,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000036,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000037,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000038,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000039,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000040,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000041,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000042,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000043,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000044,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000045,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000046,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000047,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000048,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000049,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000050,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000051,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000052,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000053,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000054,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000055,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000056,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000057,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000058,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000059,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000060,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000061,9000000,1668054263
0x2022111013215200000000000000000000000000000000000000000000000062,9000000,1668054263
